Id,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice
2461,20*,FV,72.0,8640,Pave,DNE,0,Lvl,4,Inside,0,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,DNE,0.0,4,3,PConc,Gd,TA,No,GLQ,24.0,Unf,1254.0,1278.0,GasA,5,Y,SBrkr,1278,0,0,1278,0.0,0.0,2,0,2,1,4,5,8,0,DNE,Attchd,2006.0,RFn,2.0,584.0,TA,TA,3,0,60,0,0,0,0,DNE,DNE,DNE,0,10,2006,New,198600
2814,60*,RL,68.0,8846,Pave,DNE,0,Lvl,4,Inside,0,CollgCr,Norm,Norm,1Fam,2Story,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,DNE,0.0,3,3,PConc,Gd,TA,No,Unf,0.0,Unf,750.0,750.0,GasA,5,Y,SBrkr,750,750,0,1500,0.0,0.0,2,1,3,1,4,6,8,0,DNE,Attchd,2005.0,RFn,2.0,564.0,TA,TA,3,0,35,0,0,0,0,DNE,DNE,DNE,0,8,2006,New,173900
2267,60*,RL,0.0,9303,Pave,DNE,1,Lvl,4,Corner,0,Timber,Norm,Norm,1Fam,2Story,6,5,1996,1997,Hip,CompShg,VinylSd,VinylSd,BrkFace,42.0,4,3,PConc,Ex,TA,No,ALQ,742.0,Unf,130.0,872.0,GasA,5,Y,SBrkr,888,868,0,1756,1.0,0.0,2,1,3,1,3,7,8,0,DNE,Attchd,1996.0,Fin,2.0,422.0,TA,TA,3,144,122,0,0,0,0,DNE,DNE,DNE,0,7,2007,WD ,204000
2644,30*,RM,70.0,5684,Pave,DNE,0,Lvl,4,Inside,0,OldTown,Norm,Norm,1Fam,1Story,6,8,1930,2005,Hip,CompShg,Wd Sdng,Wd Sdng,DNE,0.0,3,3,BrkTil,TA,TA,No,Unf,0.0,Unf,813.0,813.0,GasA,5,Y,FuseA,813,0,0,813,0.0,0.0,1,0,2,1,4,5,8,0,DNE,Detchd,1932.0,Unf,1.0,270.0,Fa,Fa,1,0,113,0,0,0,0,DNE,DNE,DNE,0,6,2006,WD ,110000
649,20*,RL,60.0,7626,Pave,DNE,0,Lvl,4,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,8,1952,2005,Hip,CompShg,Wd Sdng,Wd Sdng,DNE,0.0,4,3,CBlock,TA,TA,No,GLQ,931.0,Unf,100.0,1031.0,GasA,4,Y,SBrkr,1031,0,0,1031,1.0,0.0,1,0,2,1,4,5,8,0,DNE,Attchd,1952.0,Unf,1.0,230.0,TA,TA,3,0,0,0,0,0,0,DNE,MnPrv,DNE,0,3,2009,WD ,145500
2498,20*,RL,0.0,8789,Pave,DNE,1,Lvl,4,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,5,6,1967,1967,Gable,CompShg,VinylSd,VinylSd,DNE,0.0,3,3,CBlock,TA,TA,Mn,Rec,659.0,Unf,253.0,912.0,GasA,3,Y,SBrkr,941,0,0,941,0.0,0.0,1,0,3,1,3,6,8,1,Po,Attchd,1967.0,Unf,1.0,288.0,TA,TA,3,64,0,0,0,0,0,DNE,DNE,DNE,0,6,2006,WD ,129200
633,20*,RL,0.0,12285,Pave,DNE,1,Lvl,4,Inside,0,NAmes,Norm,Norm,1Fam,1Story,7,6,1960,1960,Gable,CompShg,Plywood,Plywood,BrkFace,128.0,3,3,CBlock,TA,TA,No,BLQ,544.0,Unf,785.0,1329.0,GasA,4,Y,SBrkr,1329,0,0,1329,0.0,0.0,1,1,3,1,3,5,8,2,Gd,Attchd,1960.0,Unf,2.0,441.0,TA,TA,3,0,0,203,0,0,0,DNE,DNE,DNE,0,8,2009,WD ,176000
2100,20*,RL,93.0,10481,Pave,DNE,1,Lvl,4,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,8,5,2006,2007,Hip,CompShg,CemntBd,CmentBd,DNE,0.0,4,3,PConc,Gd,TA,Av,Unf,0.0,Unf,2140.0,2140.0,GasA,5,Y,SBrkr,2140,0,0,2140,0.0,0.0,2,1,3,1,4,8,8,0,DNE,Attchd,2006.0,Fin,3.0,894.0,TA,TA,3,136,32,0,0,0,0,DNE,DNE,DNE,0,6,2007,New,360000
185,50*,RM,60.0,10800,Pave,DNE,0,Lvl,4,Inside,0,OldTown,Artery,Norm,1Fam,1.5Fin,5,6,1915,1950,Gable,CompShg,MetalSd,MetalSd,DNE,0.0,3,4,PConc,Fa,TA,No,LwQ,686.0,Unf,0.0,686.0,GasA,3,Y,SBrkr,966,686,0,1652,1.0,0.0,2,0,4,1,3,7,8,0,DNE,Detchd,1961.0,Unf,1.0,416.0,TA,TA,3,0,0,196,0,0,0,DNE,DNE,Shed,1200,6,2010,WD ,139000
2861,50*,RL,80.0,12400,Pave,DNE,0,HLS,4,Inside,1,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1940,1950,Gable,CompShg,Wd Sdng,Wd Sdng,DNE,0.0,3,3,CBlock,Gd,TA,Mn,BLQ,602.0,Unf,299.0,901.0,GasA,3,Y,SBrkr,1125,592,0,1717,0.0,0.0,1,1,2,1,3,7,8,1,Gd,Attchd,1940.0,Unf,1.0,410.0,TA,TA,3,0,0,0,0,113,0,DNE,DNE,DNE,0,2,2006,WD ,194000
1521,70*,RH,55.0,8525,Pave,DNE,0,Bnk,4,Inside,0,SWISU,Norm,Norm,1Fam,2Story,5,6,1911,1950,Gable,CompShg,MetalSd,MetalSd,DNE,0.0,3,3,PConc,TA,TA,Av,Unf,0.0,Unf,940.0,940.0,GasA,3,N,FuseA,1024,940,0,1964,0.0,0.0,1,1,4,1,3,7,8,0,DNE,DNE,1978.644525168656,DNE,0.0,0.0,DNE,DNE,1,0,192,0,0,0,0,DNE,DNE,DNE,0,11,2008,WD ,130000
2503,60*,RL,0.0,13346,Pave,DNE,1,Lvl,4,CulDSac,0,NoRidge,Norm,Norm,1Fam,2Story,7,5,1992,2000,Gable,CompShg,HdBoard,HdBoard,DNE,0.0,4,3,PConc,Gd,TA,No,GLQ,728.0,Unf,367.0,1095.0,GasA,5,Y,SBrkr,1166,1129,0,2295,1.0,0.0,2,1,4,1,4,9,8,1,TA,Attchd,1992.0,RFn,2.0,590.0,TA,TA,3,0,40,0,0,0,0,DNE,DNE,DNE,0,7,2006,WD ,268000
2408,20*,RL,61.0,7740,Pave,DNE,0,Lvl,4,Inside,0,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2006,2006,Hip,CompShg,MetalSd,MetalSd,BrkFace,518.0,4,3,PConc,Ex,Gd,No,GLQ,1023.0,Unf,663.0,1686.0,GasA,5,Y,SBrkr,1686,0,0,1686,1.0,0.0,2,0,1,1,5,6,8,1,Gd,Attchd,2006.0,Fin,3.0,899.0,TA,TA,3,266,100,0,0,0,0,DNE,DNE,DNE,0,6,2006,New,332200
2374,120*,RL,53.0,4043,Pave,DNE,0,Lvl,4,Inside,0,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,1975,1975,Gable,CompShg,Plywood,Plywood,DNE,0.0,3,3,CBlock,Gd,TA,No,ALQ,727.0,BLQ,186.0,1069.0,GasA,4,Y,SBrkr,1069,0,0,1069,0.0,1.0,2,0,2,1,3,4,8,1,Po,Attchd,1975.0,RFn,2.0,440.0,TA,TA,3,0,55,0,0,225,0,DNE,DNE,DNE,0,7,2006,WD ,146300
965,80*,RL,125.0,14419,Pave,DNE,1,Lvl,4,Corner,0,Timber,Norm,Norm,1Fam,SLvl,7,5,1987,1989,Hip,CompShg,Plywood,Plywood,BrkFace,310.0,3,3,PConc,Gd,TA,Gd,GLQ,904.0,ALQ,117.0,1645.0,GasA,5,Y,SBrkr,1479,0,0,1479,2.0,0.0,2,1,3,1,4,7,7,1,Fa,Attchd,1987.0,Fin,2.0,578.0,TA,TA,3,224,238,0,0,0,0,DNE,DNE,DNE,0,7,2009,WD ,213500
1894,60*,RL,80.0,8800,Pave,DNE,0,Lvl,4,Inside,0,NAmes,Norm,Norm,1Fam,2Story,6,7,1964,1997,Gable,CompShg,MetalSd,MetalSd,BrkFace,306.0,3,4,CBlock,TA,TA,No,ALQ,414.0,Unf,431.0,845.0,GasA,5,Y,SBrkr,845,1309,0,2154,0.0,0.0,2,1,5,1,3,8,8,1,Gd,Attchd,1964.0,RFn,2.0,539.0,TA,TA,3,0,0,0,0,161,0,DNE,MnPrv,DNE,0,7,2007,WD ,224500
1843,160*,FV,24.0,2280,Pave,Pave,0,Lvl,4,Inside,0,Somerst,Norm,Norm,Twnhs,2Story,6,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,BrkFace,342.0,3,3,PConc,Gd,TA,No,GLQ,565.0,Unf,179.0,744.0,GasA,4,Y,SBrkr,757,744,0,1501,1.0,0.0,2,1,3,1,3,6,8,1,TA,Detchd,1999.0,Unf,2.0,440.0,TA,TA,3,0,0,0,0,0,0,DNE,DNE,DNE,0,9,2007,WD ,176500
351,120*,RL,40.0,5664,Pave,DNE,1,Lvl,4,Inside,0,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,DNE,0.0,4,3,PConc,Gd,TA,No,GLQ,1158.0,Unf,343.0,1501.0,GasA,5,Y,SBrkr,1659,0,0,1659,1.0,0.0,2,0,2,1,5,5,8,1,Ex,Attchd,2000.0,Fin,2.0,499.0,TA,TA,3,212,59,0,0,0,0,DNE,DNE,DNE,0,10,2009,WD ,278000
1805,60*,FV,85.0,10625,Pave,DNE,0,Lvl,4,Inside,0,Somerst,Norm,Norm,1Fam,2Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,353.0,4,3,PConc,Gd,TA,Av,Unf,0.0,Unf,1158.0,1158.0,GasA,5,Y,SBrkr,1158,1285,0,2443,0.0,0.0,2,1,4,1,4,9,6,1,Gd,BuiltIn,2004.0,RFn,3.0,744.0,TA,TA,3,193,127,0,0,0,0,DNE,DNE,DNE,0,6,2007,WD ,265000
1807,20*,RL,63.0,7500,Pave,DNE,0,Lvl,4,Inside,0,SawyerW,Norm,Norm,1Fam,1Story,6,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,DNE,0.0,3,3,PConc,Gd,TA,No,Unf,0.0,Unf,1100.0,1100.0,GasA,5,Y,SBrkr,1100,0,0,1100,0.0,0.0,1,1,3,1,3,6,8,0,DNE,DNE,1978.644525168656,DNE,0.0,0.0,DNE,DNE,3,0,136,0,0,0,0,DNE,DNE,DNE,0,6,2007,New,146000
